label,intensity_DNA1,intensity_PD1,intensity_SOX10,polarity_PD1,centroid-0,centroid-1
605,434181.0,1830461.0,141959.0,0.0617196301837235,1301,111
613,918743.0,535772.0,80176.0,0.13419523289921303,1832,115
614,1608180.0000000002,1671981.0,156495.0,0.03423001757129211,1859,119
616,932805.0,221849.99999999997,228023.0,0.03593227355631437,329,121
618,1688739.0,180475.0,1410999.0,0.059036479250898284,1133,120
619,1263245.0,977191.0000000001,158743.0,0.09266704763952427,1489,122
622,890526.0,660172.0,74368.0,0.2571186245657886,1668,118
624,1958741.0,400200.0,92093.0,0.003382332919775153,1795,116
625,1375369.0,551109.0,108883.0,0.07609215426522462,2031,116
627,1478185.0,385500.00000000006,692999.0,0.0342260985574738,169,125
628,1713235.0,869282.0000000001,163194.0,0.207488624461597,1235,120
631,1567485.0,423104.0,102516.0,0.11725398101985422,2000,119
632,1489921.0,775531.0,411858.0,0.06925268478542276,392,128
635,644171.0,81790.0,741284.0,0.0965041789029917,1148,115
636,1669268.0,1380983.0,147666.0,0.13660246133423104,1519,120
638,1235364.0,1259007.0,148331.0,0.03983461260405251,2013,124
640,3106162.0,995446.0,2625816.0,0.32198812517473946,580,122
642,906340.0,350542.0,806374.0,0.4043721107567527,1105,123
643,716439.0,1888516.0,108985.0,0.013698494293299151,1245,120
644,516163.99999999994,160737.0,79965.0,0.14593317703230313,1688,119
646,1260588.0,284006.0,251589.0,0.08506529486516452,363,126
648,1546004.0,1191831.0,142375.0,0.08375584556905917,1384,119
649,1234042.0,498195.0,93898.0,0.2677202740627513,1465,118
651,2473707.0,409176.0,107481.0,0.1535756634878857,1677,121
652,1189605.0,456683.0,91124.0,0.14380191060495984,1849,122
654,865036.0,366280.0,561287.0,0.04606423485694203,204,126
655,1154524.0,605142.0,218028.0,0.27962516414390365,605,127
657,619829.0,704352.0,361225.0,0.3877575060796098,1264,122
658,1579984.0,655129.0,107463.0,0.08052289248577525,1480,129
661,758754.0,166393.0,44845.0,0.09762155470460089,1737,118
662,1569782.0,90075.0,646541.0,0.2585256765393256,2094,120
664,1402189.0,239900.99999999997,256310.0,0.030649518801890333,336,129
665,1914817.0,3051644.0,388699.0,0.048198693455560354,540,126
667,1308482.0,148861.0,112105.0,0.035380263877468336,926,128
673,737203.0,531195.0,94840.0,0.10235465099257705,2046,129
677,791353.0,265511.0,180277.0,0.23594896748656438,772,119
678,969095.0000000001,313403.0,692889.0,0.12590692972523596,1158,120
679,1424110.9999999998,1332804.0,202909.0,0.12217099912389119,1421,127
682,780796.0,800070.0,96521.0,0.0965107986157165,1883,128
685,896102.0,2382793.0,162364.0,0.044401235302195655,1252,123
691,1727682.0,544822.0,94502.0,0.1521229751941906,2131,127
692,793956.0,317391.0,334990.0,0.04054817985747452,274,125
695,357834.0,748622.0,145094.0,0.0971862526205213,716,126
696,1500173.0,752736.0,245089.0,0.11084553304234329,864,132
697,1047949.0,302742.0,182039.0,0.051238414835159785,938,132
698,1267976.0,646894.0,256673.0,0.027833752493719603,954,131
699,1102105.0,253081.0,107032.0,0.14293813954663281,1216,128
700,1458062.0,351937.99999999994,109667.0,0.09336181097555489,1619,131
701,1450546.0,293774.0,75383.0,0.053749780350156234,1829,122
704,1127797.0,409029.0,87963.0,0.0821320198086146,1629,127
705,931582.0,362730.0,67040.0,0.06955690493981932,1937,128
706,1410788.0,350834.0,127395.0,0.05335211210623345,1976,133
708,958799.9999999999,310715.0,311257.0,0.02597368028982999,296,135
710,928657.0,242783.00000000003,127503.99999999999,0.16279088188261398,724,126
713,1108340.0,737386.0,142715.0,0.07424835764017708,1736,126
715,1069745.0,360580.0,78526.0,0.2929376117493664,1904,129
716,941351.0,258111.0,118879.0,0.23543805810658275,2068,127
719,462578.0,154369.0,259319.0,0.016273065171929547,132,134
723,867997.0,163913.0,53010.0,0.28518443590529996,1775,131
726,1523964.0,73520.0,490559.0,0.14530387768953973,2076,126
728,898398.0,584123.0,109124.0,0.1534552877814812,1504,128
729,627291.0,826184.9999999999,118424.0,0.11003342004900546,1601,135
730,837627.0,462054.0,95647.0,0.08024250070771408,1751,130
731,1813931.0,953272.0,123512.0,0.19444844078030593,2146,135
732,969382.0,124867.0,136502.0,0.012998140852231107,346,134
734,1113245.0,1172690.0,188530.0,0.11787377486471474,1277,133
736,1299174.0,351246.0,124859.0,0.2769010296457751,1705,130
737,661787.0,342773.0,66985.0,0.18156695681319282,1768,130
742,1563691.0,745115.0,80599.0,0.14290402425355697,1782,132
743,1504317.9999999998,313598.0,62767.0,0.06883744905359275,1822,129
744,1317502.0,255497.99999999997,59966.0,0.11576256930023049,1897,135
745,1571829.0,203513.0,71477.0,0.048180302548548715,2001,128
747,953129.0,1624443.0000000002,1368949.0,0.10632516363269949,588,136
749,1996108.0,1688343.0,178623.0,0.04726960827416005,1434,140
751,816658.0,804883.0,103557.0,0.06498266659913218,1645,136
